"filename", "language", "SQL", "YAML", "Java", "comment", "blank", "total"
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\java\pionpill\arcampus\back\vo\RespBean.java", "Java", 0, 0, 26, 0, 7, 33
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\resources\application.yml", "YAML", 0, 11, 0, 0, 1, 12
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\marker.sql", "SQL", 21, 0, 0, 0, 3, 24
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\marker_info.sql", "SQL", 36, 0, 0, 0, 3, 39
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\model.sql", "SQL", 80, 0, 0, 0, 3, 83
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\model_control.sql", "SQL", 26, 0, 0, 0, 2, 28
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\model_like.sql", "SQL", 18, 0, 0, 0, 3, 21
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\university.sql", "SQL", 19, 0, 0, 0, 3, 22
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\user.sql", "SQL", 31, 0, 0, 0, 3, 34
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\user_collection.sql", "SQL", 13, 0, 0, 0, 3, 16
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\main\sql\user_follower.sql", "SQL", 40, 0, 0, 1, 4, 45
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\back\src\test\java\pionpill\arcompus\back\BackApplicationTests.java", "Java", 0, 0, 9, 0, 5, 14
"Total", "-", 284, 11, 963, 26, 276, 1560
