"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\hooks\useThemeChoice.ts", "TypeScript", 0, 8, 0, 0, 0, 6, 3, 17
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\index.css", "CSS", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\main.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\BaseModel.ts", "TypeScript", 0, 23, 0, 0, 0, 5, 4, 32
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\Marker.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\MarkerInfo.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 4, 43
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\MarkerInfoShort.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 5, 48
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\ThreeModel.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 7, 84
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\ThreeModelShort.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 5, 45
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\User.ts", "TypeScript", 0, 65, 0, 0, 0, 1, 7, 73
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\models\UserShort.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 0, 6, 45
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\routes.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 3, 40
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\AccountData.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 1, 4, 87
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\AccountProfile.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 0, 3, 92
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\AccountService\RelationLink.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 5, 85
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\AccountService\ServiceList.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 6, 115
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\AccountService\index.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\ActivityBanner.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 3, 60
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\HeadSetting.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\account\index.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\CommunityProfile.tsx", "TypeScript JSX", 0, 0, 127, 0, 0, 1, 6, 134
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\ContentFlow.tsx", "TypeScript JSX", 0, 0, 162, 0, 0, 1, 8, 171
